N,execucoes,metodo_selecao,TP,NG,TC,TM,IG,custo_medio,desvio_padrao,melhor_custo,pior_custo,ganho_medio,tempo_medio
50,20,torneio,100,200,0.8,0.8,0.7,929.15,51.72646807969784,842,1078,58.71626261463272,1.3670599339499403
50,20,torneio,50,200,0.8,0.8,0.1,961.35,43.74045610187438,865,1028,58.48071235997357,0.6524352272499527
50,20,torneio,50,200,0.2,0.8,0.7,968.4,50.374993796525665,857,1100,58.464881489373326,0.8903463998999996
50,20,torneio,100,200,0.2,0.8,0.1,940.55,35.93810651662105,883,1010,58.35518196006525,1.2708215930500046
50,20,torneio,50,200,0.2,0.8,0.1,959.5,40.89804396300635,896,1046,58.31141949030672,0.8985601081499226
50,20,torneio,50,200,0.5,0.8,0.7,968.95,69.47695661152696,880,1153,58.082004711539824,0.8945848169501005
50,20,torneio,100,200,0.2,0.8,0.7,948.75,44.37552816587088,871,1050,58.02173422748551,1.3028105827000673
50,20,torneio,100,200,0.8,0.8,0.1,939.9,40.872851625498306,879,1038,58.00771423420021,1.3160845535498538
50,20,torneio,100,200,0.5,0.8,0.1,941.3,46.52322000893748,827,1024,57.94517579501006,1.296951680749953
50,20,torneio,50,200,0.8,0.8,0.7,963.25,53.58812834947681,871,1064,57.84551994691445,0.6443600438499744
50,20,torneio,10,200,0.8,0.8,0.7,1034.1,54.441620108148875,891,1117,57.647521572286294,0.21122761914989496
50,20,torneio,10,200,0.2,0.8,0.7,1030.15,44.95139041231094,941,1121,57.53158377600507,0.21341015479997621
50,20,torneio,100,200,0.5,0.8,0.7,956.15,58.77607931803551,841,1110,57.53025568879482,1.3076093447999937
50,20,torneio,50,200,0.5,0.8,0.1,965.1,44.385695894060284,881,1025,57.361507188929615,0.9057934049998494
50,20,torneio,100,200,0.2,0.2,0.1,973.1,61.7696527430744,849,1075,56.9302923040014,1.1981638890500563
50,20,torneio,100,200,0.8,0.2,0.7,982.9,48.30103518559411,918,1065,56.75393394201309,1.3507540514502125
50,20,torneio,10,200,0.5,0.8,0.7,1046.45,36.48078261221927,978,1099,56.38851900243627,0.21434880115007218
50,20,torneio,100,100,0.8,0.8,0.7,985.55,31.916257612696384,921,1040,56.35018019683349,0.6342882892999568
50,20,torneio,50,200,0.5,0.2,0.7,1008.4,43.35366189839101,909,1095,56.349801423449435,0.8717545825000798
50,20,torneio,10,200,0.5,0.8,0.1,1050.05,52.036021177641935,975,1156,56.303875731223776,0.214372640000056
50,20,torneio,100,200,0.5,0.2,0.0,994.25,24.97173402068827,936,1044,56.29744689992972,1.2644435756000347
50,20,torneio,100,200,0.2,0.2,0.0,983.7,58.54579404192926,895,1123,56.28254922153438,1.200795627800062
50,20,torneio,100,200,0.5,0.2,0.7,979.95,39.75610016085582,882,1051,56.266687280984875,1.2701269360499736
50,20,torneio,100,100,0.8,0.8,0.1,987.35,48.68087406774861,847,1045,56.226464034883364,0.6353586677000749
50,20,torneio,50,200,0.8,0.2,0.0,1004.35,36.27295824715707,942,1096,56.206635191963564,0.583116764549868
50,20,torneio,50,100,0.5,0.8,0.7,1010.8,29.09398563277297,952,1053,56.194771904616665,0.4732326666000063
50,20,torneio,100,200,0.8,0.2,0.0,979.6,41.46010130233644,919,1096,56.17594675822879,1.2831423402501059
50,20,torneio,100,200,0.5,0.2,0.1,997.8,52.34844792350581,865,1085,56.107041852964734,1.2686668476498653
50,20,torneio,10,200,0.8,0.8,0.1,1072.05,53.374596017206535,989,1181,56.07704488954008,0.21739286115011963
50,20,torneio,50,200,0.5,0.2,0.1,1003.35,41.60201317244155,901,1085,56.07374352115822,0.8778152377999049
