N,execucoes,metodo_selecao,TP,NG,TC,TM,IG,custo_medio,desvio_padrao,melhor_custo,pior_custo,ganho_medio,tempo_medio
50,20,torneio,100,200,0.8,0.8,0.1,913.55,29.54568496413647,845,964,59.05895053805307,2.049833069100032
50,20,torneio,50,200,0.5,0.8,0.7,953.25,35.95535426052704,877,1011,58.699006250517584,0.712358723500006
50,20,torneio,50,200,0.2,0.8,0.7,948.0,56.92099788303083,853,1042,58.645261429228924,0.6950621600499971
50,20,torneio,100,200,0.5,0.8,0.1,931.3,40.374620741252784,848,989,58.46753621171837,2.050212556449992
50,20,torneio,50,200,0.5,0.8,0.1,944.9,39.65085118884587,884,1045,58.20951626100466,0.7094012394499941
50,20,torneio,50,200,0.8,0.8,0.1,957.25,39.546017498605345,885,1034,58.208900032161765,0.7374122526500286
50,20,torneio,100,200,0.8,0.8,0.7,943.3,26.849767224316864,903,1025,58.14090780178866,1.874748332450008
50,20,torneio,100,200,0.2,0.8,0.1,941.3,37.4834630203774,836,1018,57.93678690739631,1.3667763606500103
50,20,torneio,50,200,0.2,0.8,0.1,960.85,44.48626192432895,872,1046,57.92864997939232,0.7072034401499991
50,20,torneio,50,200,0.8,0.8,0.7,963.3,35.781419759422626,877,1024,57.59286856684232,0.6889011599499554
50,20,torneio,100,200,0.5,0.8,0.7,957.45,43.480426630841606,876,1033,57.38567887773147,1.9618617565498653
50,20,torneio,100,200,0.2,0.8,0.7,950.15,50.42943089109771,850,1032,57.30652600139003,1.3344905139000276
50,20,torneio,10,200,0.8,0.8,0.7,1048.35,50.59177304661303,956,1143,57.29565280303361,0.14230390264999643
50,20,torneio,100,200,0.2,0.2,0.7,972.25,47.72302903211405,862,1037,56.99722741007355,1.3353913812999507
50,20,torneio,100,200,0.8,0.2,0.7,967.1,47.294714292402695,856,1049,56.99527062544765,2.1203535117000003
50,20,torneio,100,100,0.2,0.8,0.1,978.3,44.83648068258703,877,1056,56.91024154382406,0.6850535328000206
50,20,torneio,100,200,0.5,0.2,0.1,978.25,43.514221813103816,911,1054,56.802079492277336,1.866523081000014
