Ranking,TP,NG,TC,TM,IG,Custo Inicial,Custo Médio,Melhor Custo,Pior Custo,Desvio Padrão,Ganho Médio (%),Tempo Médio (s),Solução Inicial,Solução Final
1,100,200,0.8,0.8,0.1,2273,922.1,867,979,29.04,59.43,1.7978,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[18, 18, 41, 43, 48, 32, 27, 38, 33, 40, 44, 7, 4, 2, 29, 42, 6, 23, 45, 5, 14, 39, 11, 46, 1, 36, 24, 37, 31, 34, 16, 19, 26, 28, 6, 25, 8, 9, 21, 3, 20, 10, 0, 30, 17, 49, 22, 12, 13, 15]"
2,100,200,0.2,0.8,0.7,2273,933.75,864,981,31.44,58.92,1.7734,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[26, 43, 0, 30, 13, 23, 45, 42, 7, 4, 2, 47, 9, 14, 17, 11, 41, 6, 34, 16, 44, 37, 31, 10, 27, 8, 29, 24, 48, 3, 1, 28, 32, 15, 36, 38, 33, 35, 18, 49, 25, 5, 20, 46, 40, 39, 22, 19, 12, 21]"
3,100,200,0.5,0.8,0.1,2273,934.55,896,1012,32.3,58.88,1.8153,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[41, 44, 0, 5, 1, 36, 20, 10, 18, 37, 2, 9, 14, 47, 8, 29, 24, 16, 22, 38, 28, 6, 48, 3, 7, 33, 40, 39, 35, 13, 11, 46, 12, 43, 4, 21, 19, 26, 17, 49, 23, 45, 42, 30, 27, 34, 31, 25, 32, 15]"
4,100,200,0.2,0.8,0.1,2273,936.0,858,1035,40.69,58.82,1.7644,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[35, 7, 0, 5, 1, 33, 45, 23, 43, 48, 34, 30, 17, 14, 42, 46, 39, 29, 19, 4, 3, 11, 2, 49, 40, 44, 38, 32, 28, 18, 37, 36, 47, 13, 27, 22, 12, 31, 24, 16, 15, 41, 6, 25, 8, 9, 20, 10, 21, 26]"
5,50,200,0.5,0.8,0.7,2273,944.35,873,1051,47.13,58.45,0.6143,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[39, 17, 0, 5, 1, 33, 4, 26, 43, 48, 14, 23, 42, 40, 19, 3, 9, 30, 31, 13, 28, 6, 32, 11, 21, 41, 38, 18, 24, 49, 12, 36, 20, 10, 25, 35, 22, 46, 27, 15, 16, 44, 45, 37, 29, 8, 2, 47, 34, 7]"
6,100,200,0.8,0.8,0.7,2273,945.8,901,1058,43.41,58.39,1.8212,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[26, 18, 41, 33, 46, 28, 42, 6, 32, 15, 2, 47, 9, 34, 44, 48, 24, 38, 4, 49, 12, 36, 39, 22, 40, 14, 8, 29, 7, 0, 30, 25, 13, 37, 19, 3, 27, 5, 31, 10, 11, 35, 20, 43, 1, 17, 21, 45, 23, 16]"
7,50,200,0.5,0.8,0.1,2273,948.95,859,1019,37.55,58.25,0.6169,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[26, 40, 0, 28, 44, 38, 33, 4, 6, 25, 5, 20, 42, 30, 19, 3, 41, 17, 46, 1, 11, 2, 9, 14, 8, 32, 37, 31, 24, 27, 35, 13, 36, 10, 7, 49, 23, 21, 45, 22, 12, 15, 18, 39, 29, 43, 48, 47, 34, 16]"
8,50,200,0.2,0.8,0.7,2273,955.85,902,1021,29.07,57.95,0.61,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[26, 18, 41, 33, 39, 28, 44, 45, 5, 49, 12, 36, 10, 7, 4, 3, 8, 9, 43, 1, 11, 24, 27, 22, 21, 31, 30, 6, 32, 37, 29, 15, 16, 2, 47, 34, 23, 42, 35, 20, 46, 17, 13, 38, 25, 14, 48, 0, 40, 19]"
9,50,200,0.8,0.8,0.7,2273,957.25,874,1079,42.99,57.89,0.6445,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[48, 7, 0, 28, 46, 43, 26, 12, 30, 40, 14, 8, 33, 22, 19, 3, 34, 31, 24, 38, 23, 1, 17, 25, 13, 15, 36, 6, 5, 49, 45, 42, 47, 27, 9, 21, 10, 18, 39, 16, 37, 2, 29, 4, 11, 41, 44, 35, 20, 32]"
10,100,200,0.5,0.8,0.7,2273,960.2,859,1053,49.72,57.76,2.1947,"[41, 7, 0, 5, 1, 33, 45, 10, 43, 48, 28, 30, 17, 26, 9, 23, 39, 32, 31, 3, 44, 46, 2, 4, 20, 15, 14, 25, 37, 42, 13, 27, 6, 8, 36, 38, 11, 35, 18, 49, 21, 47, 19, 16, 29, 40, 34, 24, 22, 12]","[21, 7, 0, 20, 1, 33, 45, 22, 39, 3, 29, 41, 15, 8, 9, 23, 43, 11, 31, 30, 44, 37, 2, 4, 13, 28, 6, 25, 35, 5, 14, 48, 32, 42, 36, 38, 26, 10, 18, 49, 40, 47, 24, 27, 34, 16, 46, 17, 19, 12]"
